Model,Weighted F1,Accuracy,Train Time (s),Type
LR + TF-IDF (tuned),0.6380568908260409,0.6212534059945504,5.675124406814575,Linear
GBDT (tuned),0.6366843012122718,0.6757493188010899,62.08638668060303,Tree
LR + TF-IDF (baseline),0.6308913638715627,0.6158038147138964,0.05966639518737793,Linear
LightGBM (tuned),0.6141116380803565,0.6212534059945504,59.449774742126465,Boosting
Random Forest (tuned),0.6091953531977462,0.5967302452316077,4.4814653396606445,Tree
Decision Tree (tuned),0.5387712398820205,0.5286103542234333,6.124990224838257,Tree
XGBoost (tuned),0.4421548695137532,0.4332425068119891,37.70481824874878,Boosting
Dummy (Most Frequent),0.23987670036716355,0.4114441416893733,0.0,Baseline
Dummy (Stratified),0.23935816277033908,0.23978201634877383,0.0,Baseline
